r,station,seed,window,mean_res_pair,std_res_pair,frac_res_lt_1e-3,mean_n_unique_joint,std_n_unique_joint,mean_max_mult,std_max_mult,mean_sparsity,std_sparsity,mean_alph_prod,std_alph_prod,mean_fill_frac,std_fill_frac,mean_H_joint,std_H_joint,mean_TC,std_TC,mean_TC_pair,std_TC_pair,mean_Res_TC,std_Res_TC,mean_ipf_iters,std_ipf_iters,mean_ipf_dev,std_ipf_dev,mean_mean_k_i,std_mean_k_i,frac_res_lt_1e-2,n_windows,full_res_pair,full_n_unique_joint,full_max_mult,full_sparsity,full_alph_prod,full_fill_frac,full_H_joint,full_TC,full_TC_pair,full_Res_TC,full_ipf_iters,full_ipf_dev,full_mean_k_i
3.3,S_k_p2,1,13,0.19448415895873422,0.22572582686189216,0.20982142857142858,11.325892857142858,1.1084291922512208,1.9285714285714286,0.4670248868079293,0.8712225274725275,0.08526378401932469,255.71428571428572,4.266624149448022,0.044299897693452384,0.004347247196115357,3.4385686930620096,0.1792184507815394,4.333267644482521,0.18600293947629817,4.130676366792888,0.30131736279480426,0.20259127768963273,0.22389391226873834,195.10267857142858,29.53286897624598,0.0003270504534035549,0.0001663186029701198,3.9988839285714284,0.016666500583781337,0.46875,224.0,0.01252965389770782,32.0,38.0,0.04,256.0,0.125,4.961465025655752,3.0368846337699082,3.0243549798712364,0.012529653898671889,8.0,1.1887657525022632e-11,4.0
3.3,S_k_p2,1,26,0.3153097538107374,0.13427729448206738,0.0,18.87837837837838,1.6215277750622314,2.77027027027027,0.58233679530852,0.7260914760914761,0.062366452887008914,256.0,0.0,0.07374366554054054,0.006334092871336842,4.1187052261188875,0.146931816877123,3.796188937296295,0.14651334297472554,3.478850669387846,0.20706324719002328,0.3173382679084495,0.13277619313948244,132.1036036036036,83.94116926111973,0.00011485394886900565,0.00010473236595463258,4.0,0.0,0.0045045045045045045,222.0,0.01252965389770782,32.0,38.0,0.04,256.0,0.125,4.961465025655752,3.0368846337699082,3.0243549798712364,0.012529653898671889,8.0,1.1887657525022632e-11,4.0
3.3,S_k_p2,1,52,0.18802452275839968,0.05942050799605252,0.0,26.533333333333335,1.7629940862487736,4.318518518518519,0.6283647425318073,0.5102564102564102,0.03390373242786103,256.0,0.0,0.10364583333333334,0.006886695649409272,4.5557232478395555,0.10351541379709545,3.407086276834331,0.10257091149508435,3.219005887362085,0.08933959812411732,0.1880803894722459,0.05936140830280683,30.762962962962963,31.144158814421164,4.901372398300217e-06,2.809217947868641e-05,4.0,0.0,0.0,135.0,0.01252965389770782,32.0,38.0,0.04,256.0,0.125,4.961465025655752,3.0368846337699082,3.0243549798712364,0.012529653898671889,8.0,1.1887657525022632e-11,4.0
3.3,S_k_p2,1,104,0.0846902145578663,0.03267667948565632,0.0,30.984848484848484,0.8437367146864153,7.0606060606060606,0.9025013704142685,0.29793123543123545,0.008112853025830927,256.0,0.0,0.12103456439393939,0.00329584654174381,4.7949345495662605,0.05131126460089223,3.1883808429892952,0.05011866564439979,3.1036906284103316,0.033780348659088,0.08469021457896364,0.03267667949124596,15.075757575757576,3.759072282635567,4.3743375504326416e-11,2.2946992375919016e-11,4.0,0.0,0.0,66.0,0.01252965389770782,32.0,38.0,0.04,256.0,0.125,4.961465025655752,3.0368846337699082,3.0243549798712364,0.012529653898671889,8.0,1.1887657525022632e-11,4.0
3.3,S_k_p2,2,13,0.17584021935301836,0.221597453715474,0.2857142857142857,11.433035714285714,1.163038538304571,1.9107142857142858,0.5009557192537691,0.8794642857142858,0.08946450294650544,255.71428571428572,4.266624149448022,0.044712611607142856,0.004500649714547583,3.453924389313677,0.18878583139990424,4.322175530108261,0.20084428855629563,4.1391554463118165,0.3194572140187324,0.1830200837964435,0.2206422975637445,193.41517857142858,34.2466362003561,0.00030101081548825493,0.00015128685290197172,3.9988839285714284,0.016666500583781337,0.5223214285714286,224.0,0.003811283587040341,32.0,35.0,0.04,256.0,0.125,4.981884581030746,3.015716393883359,3.0119051102941548,0.0038112835892043506,7.0,8.352304958769707e-11,4.0
3.3,S_k_p2,2,26,0.281677733774143,0.1308058465545718,0.0,18.86036036036036,1.740703972704969,2.8513513513513513,0.6299384876111711,0.7253984753984755,0.06695015279634496,256.0,0.0,0.07367328265765766,0.006799624893378785,4.111482800528268,0.15845949775348292,3.7987251279883334,0.15902321593010163,3.514787445592737,0.20975894825536837,0.2839376823955962,0.12933611693505243,138.8963963963964,81.58880137332918,0.00012850122369295248,0.00011091775155782072,4.0,0.0,0.0,222.0,0.003811283587040341,32.0,35.0,0.04,256.0,0.125,4.981884581030746,3.015716393883359,3.0119051102941548,0.0038112835892043506,7.0,8.352304958769707e-11,4.0
3.3,S_k_p2,2,52,0.17227166704931085,0.0758232031681911,0.0,26.474074074074075,1.7964146581852034,4.496296296296296,0.739109314563936,0.5091168091168091,0.03454643573433083,256.0,0.0,0.10341435185185185,0.007017244758535951,4.5457850670463475,0.10940871267734631,3.4116067160653873,0.10942761714410341,3.2392072763376807,0.10887882860822402,0.17239943972770655,0.07572763509772104,37.02962962962963,42.53102409975496,9.665267574999717e-06,3.873857820794957e-05,4.0,0.0,0.0,135.0,0.003811283587040341,32.0,35.0,0.04,256.0,0.125,4.981884581030746,3.015716393883359,3.0119051102941548,0.0038112835892043506,7.0,8.352304958769707e-11,4.0
3.3,S_k_p2,2,104,0.07602702100240917,0.02746185443701409,0.0,30.984848484848484,0.7485829895173105,7.212121212121212,0.9926266275248001,0.2979312354312354,0.0071979133607433824,256.0,0.0,0.12103456439393939,0.002924152302801994,4.780275198580037,0.05010056731124338,3.1976753426066207,0.052819158592185694,3.121648321578867,0.05290555169960094,0.07602702102775383,0.02746185443260036,15.757575757575758,3.988850392830245,5.09397488416308e-11,2.1000150085189526e-11,4.0,0.0,0.0,66.0,0.003811283587040341,32.0,35.0,0.04,256.0,0.125,4.981884581030746,3.015716393883359,3.0119051102941548,0.0038112835892043506,7.0,8.352304958769707e-11,4.0
3.3,S_k_p2,3,13,0.1831253978400511,0.22115248417177058,0.21428571428571427,11.348214285714286,1.0707959441843402,1.9375,0.4586714121086186,0.8729395604395604,0.08236891878341081,255.71428571428572,4.266624149448022,0.044392903645833336,0.004270079764454282,3.4419118721463193,0.17112266841272772,4.335550407727094,0.1847910106737206,4.144823478958714,0.30354640751973927,0.19072692876837996,0.21962516436548635,192.49107142857142,36.71864443102497,0.0003093464994923441,0.00016302813907146833,3.9988839285714284,0.016666500583781337,0.48660714285714285,224.0,0.007030640947179695,32.0,35.0,0.04,256.0,0.125,4.9830398940109255,3.015084210707885,3.0080535697607553,0.007030640947129463,7.0,1.4406059678506722e-11,4.0
3.3,S_k_p2,3,26,0.304625250194672,0.14914568185684948,0.0045045045045045045,18.78828828828829,1.7540808911637225,2.81981981981982,0.5804347267691752,0.7226264726264725,0.06746464966014318,256.0,0.0,0.07339175112612613,0.006851878481108291,4.1076645226319926,0.15944193672498974,3.8070597186274218,0.15997328709820424,3.500310780213772,0.22122277075761207,0.30674893841364914,0.14756282231580986,129.7117117117117,84.47046366751623,0.00011766297127334033,0.00011119194637997895,4.0,0.0,0.013513513513513514,222.0,0.007030640947179695,32.0,35.0,0.04,256.0,0.125,4.9830398940109255,3.015084210707885,3.0080535697607553,0.007030640947129463,7.0,1.4406059678506722e-11,4.0
