r,station,n,lam_regime,alpha3,mean_excess3_mean,mean_excess3_std,mean_excess3_sem,std_excess3_mean,std_excess3_std,std_excess3_sem,highL3_mean,highL3_std,highL3_sem,mean_res_pair_mean,mean_res_pair_std,mean_res_pair_sem,std_res_pair_mean,std_res_pair_std,std_res_pair_sem,mean_phi1_mean,mean_phi1_std,mean_phi1_sem,mean_phi2_mean,mean_phi2_std,mean_phi2_sem,mean_abs_tau_mean,mean_abs_tau_std,mean_abs_tau_sem,std_abs_tau_mean,std_abs_tau_std,std_abs_tau_sem,mean_tau_mean,mean_tau_std,mean_tau_sem,var_classical_mean,var_classical_std,var_classical_sem,ac1_classical_mean,ac1_classical_std,ac1_classical_sem,f3_share_mean,f3_share_std,f3_share_sem
3.562057,S_k_p8,6,0.0,1.0,2.369493990969033,0.006452824187495008,0.002634354443208703,0.0699456909501661,0.0144620079550538,0.005904090024325502,0.9945404913557779,0.0,0.0,8.277761830031442e-07,1.511565578882518e-06,6.170940635028075e-07,8.030331248717903e-06,1.285316369118391e-05,5.247282103978027e-06,0.6804923667980992,0.1800509658042975,0.07350549898597192,0.6771673743807501,0.17812449080780537,0.07271901886203264,0.58398926806148,0.21611199539813775,0.08822735267002398,0.11306114268793005,0.044149361028176216,0.01802390116482484,0.58398926806148,0.21611199539813775,0.08822735267002398,0.046557061301646115,0.0009721993985688498,0.00039689874245572875,-0.9301738713013495,0.014659382302484933,0.005984667764245682,0.43282426145577185,0.06614366537418707,0.027003038314025687
3.564407,S_inf_minus,6,0.0,1.0,2.3726129524533217,0.012298482122334316,0.0050208343017433665,0.06129843793334815,0.022350981612073394,0.009124750033318202,0.9945404913557779,0.0,0.0,0.00015240057152786566,0.00034077803774544167,0.00013912205133720636,0.0025119528290095407,0.005616897281938095,0.0022930887130623466,0.5768628045698109,0.12549624487527294,0.05123362742996451,0.5756628500657163,0.1220742107348113,0.04983658784221207,0.3865639827705641,0.2511429533888947,0.1025286813830619,0.09115841226421151,0.0541731367242667,0.022116090456747,0.3865639827705641,0.2511429533888947,0.1025286813830619,0.04586974713793354,0.001320675449977585,0.0005391634947109422,-0.9424334245742417,0.017748379155749356,0.007245745448839136,0.46858716021765745,0.04674835207141871,0.01908493481515948
3.566168,S_inf_minus,6,0.0,1.0,2.3777218292491398,0.006832697291125235,0.002789436988358945,0.05388404566974819,0.015762569037140562,0.006435041862731254,0.9945404913557779,0.0,0.0,2.585736971558637e-07,5.78188363339607e-07,2.3604441089949348e-07,4.272338631237978e-06,9.553239602223541e-06,3.900093735999435e-06,0.5257810130421595,0.04140025544596377,0.016901583510581946,0.5260969568294409,0.038666826191597566,0.01578566569038303,0.29194499132798946,0.2128208113901576,0.08688373242516408,0.07753831680508026,0.05594568330163181,0.022839729566723876,0.29194499132798946,0.2128208113901576,0.08688373242516408,0.045560171545920625,0.0012862929349652206,0.0005251268917352963,-0.9481237931055052,0.015527932524598354,0.006339251907605495,0.48669915133945546,0.01811153654636411,0.007394003832726927
3.567,S_inf_minus,6,0.0,1.0,2.269009576106462,0.11053861609605226,0.04512720105145459,0.12472615924844073,0.0768859619302299,0.03138856251868601,0.9872611464968153,0.008138554968152087,0.0033225511525942692,0.003433498991378561,0.0036572570674248037,0.0014930689455630573,0.0221429566586817,0.022528302178001395,0.009197140851222392,0.3899125467596805,0.15344505613584744,0.06264368184759121,0.4006122990597513,0.14218267921134123,0.05804583572160189,0.21286921149809634,0.17928963079318438,0.0731946852692147,0.07238049583739127,0.05052839040073386,0.02062812900099027,0.08714263764537988,0.2642853383849958,0.1078940375903381,0.04514729511551859,0.0009769654311005988,0.0003988444670891104,-0.9685733953314877,0.024458167073051772,0.009985004895452931,0.5724447865854944,0.09264499445331933,0.037822160605601694
3.569946,S_inf,6,0.0,1.0,2.342584050687048,0.07261458688096319,0.02964478095689288,0.08096457982506881,0.05373443710662162,0.021936992087816243,0.9936305732484075,0.002034638742038001,0.0008306377881485587,0.0005888550220045258,0.0013164320051286594,0.0005374311156056906,0.006268709626652773,0.01401250493634169,0.005720581185377938,0.4430037407744414,0.08686957987373212,0.03546435747676514,0.44684245778991,0.08065597540334114,0.03292766407410941,0.19974237878716852,0.1513256616652453,0.06177844267814933,0.05361153489815096,0.022839211150758994,0.009324068907840558,0.15785370344328298,0.1925983607469603,0.07862795152108892,0.04533627084983833,0.0010398534273625608,0.0004245183840537542,-0.9577468185480499,0.018320374650012693,0.007479261631525175,0.5326155022880336,0.05449492328066128,0.02224745926828934
3.570279,S_inf,6,0.0009964285714298645,1.0029912714540856,2.340539480149072,0.07216955814008465,0.02946309873422193,0.0830196748669056,0.0507004790383931,0.020698383893122906,0.993403093721565,0.002543298427547501,0.0010382972351856985,0.0005119283171394419,0.0011431153776851443,0.0004666748987429133,0.004595597133212367,0.01025751156561963,0.004187611561077517,0.49112829845313927,0.13088904515911218,0.053435228926654914,0.49288305024769996,0.12306651688585159,0.050241695131991046,0.29945096798387477,0.22288942278428472,0.09099422581416144,0.08296454451564536,0.05229658150701722,0.021349989997343857,0.2543161481689818,0.2731388306589007,0.1115084606757948,0.045744721998545755,0.0012403652332355186,0.0005063769860192113,-0.950868854461503,0.0227554607911032,0.009289877966685345,0.5134509379259385,0.07849911090460186,0.0320471278297369
3.57439,S_post_acc,6,0.01567857142857262,1.0475273494897996,2.3385953247567683,0.06567986361777635,0.02681369203985687,0.0972827624087651,0.04369949390534362,0.017840243680992535,0.9932514407036699,0.0028824048845538628,0.001176736866543803,0.0004783093314868648,0.001065895632940037,0.0004351500699606674,0.003658575642636946,0.008130528107983022,0.0033192742006524557,0.42448943483975327,0.07961096658405706,0.03250104101011702,0.4261879486401779,0.07462750765120985,0.03046655242018528,0.32408416537758405,0.19707431164890574,0.08045525082500835,0.06387311274624392,0.021652792321476395,0.008839715449011798,0.28251710964233817,0.25213740951142327,0.10293466639502552,0.046493647085191464,0.001408454035441411,0.0005749989521658853,-0.9451148281083736,0.023213251176507674,0.009476770108917516,0.5555329690072567,0.05105601710434239,0.020843531700741533
3.575,S_post_acc,6,0.017857142857144046,1.054209183673473,2.350339486541653,0.06227379097636507,0.02542316870680498,0.0737082105346792,0.05583713214375869,0.022795413742094303,0.9942371853199878,0.0006782129140126395,0.00027687926271617504,0.000191952579085275,0.0003330532616360222,0.00013596842469631976,0.0029491655782300417,0.0054951107519058,0.002243369570375136,0.45921797593772123,0.08478462149563516,0.03461317678321875,0.46103275705186536,0.07919286474050366,0.032330351647246555,0.20495274665749985,0.1586147161768313,0.06475418672160221,0.05679589091941934,0.0320767388469105,0.013095273797906998,0.16827248602842756,0.19629468969555033,0.08013697149534289,0.045542447760653436,0.0010246783753243979,0.0004183231950014741,-0.9543148670209279,0.01856550370831985,0.007579335150522089,0.537906856199751,0.05214482442816137,0.021288035429335165
3.578501,S_post_acc,6,0.03036071428571538,1.092925688801024,2.3309165749917438,0.0606059450994775,0.024742273478808426,0.10018961354208411,0.05952923969384804,0.024302710337627,0.9939338792841976,0.0013564258280253203,0.0005537585254323669,0.0002890232660399784,0.0004093738535814978,0.00016712617588525026,0.0035710660164237212,0.0052331025601348845,0.002136405173997132,0.42931705590941255,0.13148755697926992,0.05367957035405673,0.4320992569002123,0.1208677738964026,0.04934406206537909,0.2671441480856471,0.22068691691051762,0.09009505655645941,0.06832373283846865,0.03584695941340939,0.014634459898851865,0.21948780449694524,0.26717942446573356,0.10907554328525455,0.04624826974275686,0.0012621656008704148,0.0005152769488376413,-0.9487567663419068,0.022507635545351356,0.00918870373377337,0.5698303256266225,0.08039901501401009,0.032822760434448074
3.582612,S_post_acc,6,0.04504285714285814,1.1391862893877582,2.355209202807155,0.0041623317389573485,0.0016992648167728159,0.09862435496520279,0.006114056930713509,0.0024960532897625237,0.9945404913557779,0.0,0.0,8.163517501498568e-07,1.1191757564825004e-06,4.569015893125815e-07,9.966608737427843e-06,1.1438674270936851e-05,4.6698192162829446e-06,0.4690501465979173,0.05216634965627588,0.021296823066914758,0.4626048933373774,0.05164014286430249,0.021082000043661148,0.533883992979057,0.028691854885236335,0.011713400707134971,0.07818223087211265,0.01601211737465009,0.006536919544907619,0.533883992979057,0.028691854885236335,0.011713400707134971,0.04826519175533752,8.023664650004708e-05,3.275647376619752e-05,-0.9201870153182171,0.0012753630193942209,0.0005206647723885213,0.5525339247680588,0.026780121388425553,0.010932938775239466
3.586723,S_post_acc,6,0.059725000000000895,1.186309151250003,2.3515307627462283,0.02810041558116476,0.011471946622334613,0.08667042918989463,0.049534130014588555,0.020222223898070504,0.9945404913557779,0.0,0.0,1.7750717305995377e-06,2.520783558627599e-06,1.0291055784391304e-06,1.5264005863841705e-05,2.1655663335943244e-05,8.840887535759787e-06,0.41877717116570623,0.1115462535614931,0.04553856732412816,0.4189281922960267,0.1026381185019643,0.04190183641485432,0.2550908998578103,0.21076934280251586,0.08604622388131902,0.0710943227566611,0.03275215570329702,0.013371011574877271,0.23674816533591678,0.22766944238420525,0.09294566064421277,0.04668212576252517,0.0012335336400672945,0.0005035879997871391,-0.9403020035474929,0.01637652949328926,0.006685690169366374,0.5946841076989354,0.06765236948240191,0.0276189641870202
3.590834,S_post_acc,6,0.07440714285714366,1.2342942743877576,2.351935760844736,0.034452325797482294,0.014065103109326195,0.08860500285817692,0.044130071652487994,0.018016026310176007,0.9943130118289355,0.0003474807169362693,0.00014185840865838946,0.00031668860323159394,0.0005040574993654228,0.0002057806124114236,0.004153475563750196,0.006202568967994867,0.002532188177668112,0.37587200485289657,0.07175953892091394,0.02929570908893816,0.38007216156101503,0.06896146143180858,0.028153398737425478,0.1122423136819846,0.01708379059508367,0.00697442830508553,0.05543097019325833,0.007863055226009611,0.003210078853841368,0.055802629728589515,0.07937685247681708,0.03240546432606283,0.04595596732531156,0.00012158841532993559,4.963826269865637e-05,-0.9532846942987697,0.01083280341421485,0.004422473474784311,0.6249030687207714,0.04323262862484576,0.017649646728352352
3.594946,S_post_acc,6,0.08909285714285833,1.2831536458163306,2.337893028711641,0.014706538180165209,0.006003919070693978,0.11725196317945034,0.013797403312442452,0.005632766315145072,0.9945404913557779,0.0,0.0,2.9881025976181513e-06,2.601895028428461e-06,1.0622191973223435e-06,2.6037191915550602e-05,1.5455809520771787e-05,6.30980781459018e-06,0.2983141239510666,0.1145382146694163,0.04676003033157217,0.29973018400566176,0.10493100974302352,0.04283790534423631,0.21392228784824763,0.22036401940888617,0.08996323420342332,0.06405657679220862,0.03146783461965399,0.012846689688073306,0.16973930582248678,0.2520643669023125,0.10290484687472502,0.04727399719781707,0.0011155388787460739,0.0004554168401940593,-0.940563580946784,0.01780700401602619,0.007269678947825835,0.6928259818442567,0.07631762860683472,0.031156541410996285
3.6,S_post_acc,6,0.10714285714285794,1.3443877551020436,2.323687133826429,0.03119521580677018,0.012735393523765204,0.1281438646271934,0.02728017977844668,0.011137086758097704,0.9942371853199878,0.0004289395093639735,0.00017511382141025035,0.00016379272079510696,0.0002954158114489822,0.00012060300000004189,0.0026390028104883727,0.0047910116685253015,0.0019559223232678744,0.3280760287129714,0.10015488461206366,0.040888060424480455,0.3257380446870893,0.09012417554971404,0.03679304059763584,0.22803806830315057,0.21618211886935118,0.08825598045726825,0.06759011381763953,0.022269289106943476,0.009091399207755202,0.16515557534753147,0.2633498431895983,0.10751212327607992,0.047407134223615144,0.0012141981337532501,0.0004956943123891773,-0.9410374559939658,0.02039969134376163,0.008328139117081152,0.6809954029576094,0.060890797688312966,0.02485856406123471
3.65,S_post_acc,6,0.2857142857142857,2.0204081632653064,2.237482614698081,0.132888429994993,0.054251474367882635,0.15286971430505755,0.03004388921896509,0.012265366412528183,0.9825599029420685,0.026181126829919982,0.010688400270732411,0.0014942827823883854,0.002983398250898579,0.0012179672357022242,0.009318343481907505,0.015818790765656867,0.00645799428728496,0.25952886462440605,0.12369211651568125,0.05049709511138383,0.24516985138004246,0.0926920112184156,0.037841355119575384,0.1791945316853909,0.18101132303090786,0.07389756318197022,0.06248075503522004,0.019547906742111595,0.007980399509614081,0.04038832638009968,0.2480422232738595,0.10126281361440896,0.048985738860333895,0.00068038550881703,0.0002777662208309381,-0.9238195791393023,0.01942213938964785,0.007929055202974591,0.8064830769856809,0.05855053126415493,0.023903154294342217
3.7,S_ch,6,0.4642857142857151,2.8239795918367383,1.9444560149484216,0.02964154054629795,0.012101108254741418,0.1792013714927391,0.01481957573909646,0.006050066460885869,0.8863360630876554,0.02121855518055533,0.008662438878574858,0.006731850160046442,0.0024411476595946123,0.0009965943587993608,0.03423281416887134,0.008696854347760598,0.003550475919886479,0.2621196036801132,0.014802583809810345,0.00604312953480313,0.2651349711859266,0.010743512576101717,0.004386020642770539,0.0695056433173435,0.01829507615290082,0.007468933563327948,0.05444466032247461,0.011283106080875748,0.0046063087686399416,0.006944118918524772,0.029460756479721045,0.012027303468618293,0.049860812782385557,9.075649178512225e-05,3.705118261977379e-05,-0.8923228253404675,0.0036197745256236866,0.0014777667619505109,0.8354477267574135,0.0059020786528329915,0.0024095135202023285
3.75,S_ch,6,0.6428571428571429,3.755102040816327,1.7996138810322402,0.005121368749024377,0.0020907900366242548,0.12762277907136632,0.002987413906013996,0.0012196066200381855,0.6146496815286624,0.014286004065611995,0.005832236737345894,0.026723771526647958,0.0033115254157427853,0.0013519245898046255,0.0839152386579376,0.009215040036527894,0.003762024341468567,0.1991583257506824,0.005967173693831003,0.002436088459407442,0.26890734000606614,0.009241048124621365,0.00377264209897096,0.13584880232503632,0.005834759647104723,0.0023820306511980363,0.07420386888193362,0.0022616366408703204,0.0009233092922857421,-0.11863434064073919,0.009379635731067051,0.00382922025238189,0.04788463089590911,0.0002766930727144941,0.00011295947391888557,-0.8408980735214827,0.0026149512823042008,0.0010675493906469765,0.8649345540020796,0.0038442261286596537,0.001569398745181818
3.8,S_ch,6,0.8214285714285706,4.813775510204076,1.7879413577097563,0.005330052871464803,0.0021759849728575104,0.12369243158070636,0.003889734941928455,0.0015879776403998453,0.6122232332423415,0.01109660790411084,0.004530171206801041,0.017072365101265512,0.0028589984939295663,0.0011671812475855046,0.07546497421270688,0.007634376798116326,0.0031167212765879707,0.25853048225659686,0.009771008964340492,0.003988997705799087,0.2951281468001213,0.0051364979210704095,0.002096966495248181,0.11982771866227075,0.0056147116116127965,0.0022921964168885257,0.0969659420976563,0.005878958009936443,0.0024000745572653874,-0.0034053266457288386,0.017149457209686296,0.007001236588237601,0.04686224712018838,0.0004125780188086507,0.00016843427086159918,-0.7391077274451862,0.0021578174485608797,0.0008809252845080739,0.8710494610201147,0.0021059535142490073,0.000859751921988522
3.828427,S_win_p3,6,0.9229535714285713,5.472547304311224,1.8316154087444148,0.006546109165019114,0.0026724378758088796,0.11944823161338135,0.0016292115512124897,0.0006651228305864774,0.7556111616621171,0.018071701827450833,0.007377741376829472,0.012435618057073028,0.002935011007823565,0.0011982132264365902,0.05978050274705136,0.0097228228339289,0.003969325800434486,0.2650389242745931,0.0067429717596963045,0.0027528066935421226,0.2906802901627742,0.005454995986864785,0.002226992786124782,0.12279195768683886,0.0027265602730668142,0.0011131135703262105,0.09911390871484367,0.005983075586785844,0.002442580380021395,0.022421899821351374,0.011221526618167811,0.004581169058261743,0.051623600070140496,0.000292756624086002,0.0001195173913050821,-0.7092700542388451,0.0016016569746069114,0.0006538737217927945,0.8810343336410975,0.0019584351966516218,0.0007995278210172841
3.85,S_ch,6,1.0,6.0,1.8632991416153988,0.008161826104096858,0.003332051554060874,0.11614185908836495,0.004735737293132048,0.001933356654007121,0.8354564755838642,0.022087261165468632,0.00901708661183144,0.008201138225639287,0.0022567107166193523,0.0009212982921313298,0.04523001756383458,0.009011551204388882,0.003678950373619327,0.26982863208977853,0.005615216232327807,0.0022924024274327613,0.2952052370842179,0.003837407406606519,0.0015666150135604775,0.12480761418147157,0.00663257984506872,0.0027077393831143786,0.10264557342130282,0.012139033806820897,0.004955739799517671,0.03820339640723553,0.008230837934130824,0.003360225515694023,0.05584263821703659,0.0005769195887728409,0.00023552643585162718,-0.6842521215740235,0.006569669685712423,0.002682056418104361,0.8851167910154566,0.001348567994918586,0.0005505505784997924
3.9,S_ch,6,1.0,6.0,1.8984133113013293,0.0037525223019346837,0.0015319608146923548,0.10773802936580534,0.004739469224515718,0.0019348802086146327,0.9090081892629662,0.014939939096427478,0.006099204595750749,0.005600421950119421,0.0023866549182202895,0.0009743477902906041,0.03552392713863905,0.016401419453087897,0.006695851452903882,0.26506419977757556,0.007957890862872878,0.0032487953404658483,0.30962680719846325,0.005220329971140235,0.0021311907863752685,0.11752690146200201,0.003537664385748288,0.0014442454377166308,0.10300330659264663,0.007054219554165428,0.0028798730735447903,0.04794052771657891,0.012160788651867035,0.004964621177817063,0.0663205315097858,0.0007211636035009879,0.0002944138082740375,-0.6134591579802136,0.005827805248886438,0.0023791915300142162,0.8804940105703377,0.0018266840305427167,0.0007457406326867031
3.95,S_ch,6,1.0,6.0,1.8992713685595255,0.0071464004398102045,0.002917505762522715,0.11805586676174491,0.005472356584694282,0.002234080220510105,0.8841370943281771,0.019569704066652756,0.007989298230094697,0.007284439553917661,0.0020693458083120408,0.0008448068886219516,0.04472945049219464,0.010010758563658236,0.004086875069859952,0.2733166515013649,0.005062756436042481,0.0020668616600492628,0.3327418865635426,0.004490076614065925,0.0018330661017441844,0.12024536841721485,0.0045462174229837565,0.0018559854910101476,0.09998022702005477,0.004576240636656125,0.0018682424166661233,0.07303564639030817,0.006843654469516473,0.0027939102377054757,0.07953579715750479,0.0009405984130820136,0.00038399769415375457,-0.5293701302120276,0.006269748516345405,0.002559614113436353,0.8729058578423751,0.0014941410745187235,0.0006099805393841083
