r,seed,station,mean_excess3,std_excess3,highL3,mean_res_pair,std_res_pair,mean_phi1,mean_phi2,mean_abs_tau,std_abs_tau,mean_tau,var_classical,ac1_classical,lam_regime,f3_share,alpha3
3.4,44034,S_k_p2,1.7946011436443898,0.08928402741373273,0.6278434940855323,0.13981048789811193,0.2047930621041516,0.2572035183500152,0.3249658780709736,0.039971327676994954,0.03058502665770634,0.004591868622947234,0.033283175457605146,-0.9990466455381419,0.0,0.6307694897236261,1.0
3.4,44051,S_k_p2,1.7804715818415788,0.09168535751344073,0.5491355777979982,0.1550476091648681,0.20038610533726836,0.248710949347892,0.3169396420988777,0.04277801215643995,0.031115843342729283,0.002140658447788248,0.033264433249960666,-0.9990009270449507,0.0,0.637447875659347,1.0
3.4,44068,S_k_p2,1.846458489435542,0.13915380479538944,0.7142857142857143,0.09951631228144632,0.16867705783752315,0.5351076736427054,0.39937443130118294,0.5588329505148518,0.08005068591551238,0.5588329505148518,0.038013208720311005,-0.9985343111239063,0.0,0.5155670510356034,1.0
3.4,44085,S_k_p2,1.7829025454502132,0.08247222733993016,0.5914467697907189,0.14719565870185417,0.2069134804642442,0.17637245981195024,0.31427434030937207,0.16130134845856967,0.046535293102653835,-0.16129353583649741,0.03174153467308408,-0.9992068986256935,0.0,0.6696397801559312,1.0
3.44949,44494,S_k_p4,2.0404762047055063,0.21720561685076237,0.9140127388535032,0.017543657071028642,0.06752563302022949,0.6493782226266303,0.5735630876554443,0.6266640885013828,0.12703645280037776,0.6266640885013828,0.04187495846361242,-0.9960463055515651,0.0,0.44849995640133444,1.0
3.44949,44511,S_k_p4,2.0187598694847413,0.20346626950007068,0.9226569608735213,0.024916402257787986,0.08664750035746495,0.597361237488626,0.5168221110100091,0.5982495820247191,0.12694418103434157,0.5982495820247191,0.04186723162569188,-0.9963538090906605,0.0,0.47163145432261516,1.0
3.44949,44528,S_k_p4,2.0368974180810016,0.213899586625106,0.9272065514103731,0.025472715410795158,0.096375390508845,0.6328480436760692,0.554583712465878,0.6161248613259583,0.13271781516736508,0.6161248613259583,0.04185172070723898,-0.9959874536501445,0.0,0.4557988730130991,1.0
3.44949,44545,S_k_p4,2.0380639495477983,0.21015361705310695,0.9235668789808917,0.016631426772849525,0.07081761552442555,0.6248104337276312,0.5500037913254474,0.6108728261379084,0.12590878492468494,0.6108728261379084,0.04183430589714513,-0.9957758590201992,0.0,0.4584499177717137,1.0
3.44949,44562,S_k_p4,1.822317462293175,0.10695425841495898,0.7170154686078253,0.07102811628416851,0.1317395083825455,0.27434030937215653,0.33000834091598424,0.04918826856669636,0.036738087107714,0.019156549321083145,0.03737812030399218,-0.9986664475634764,0.0,0.6220196669373876,1.0
3.44949,44579,S_k_p4,1.827964169016382,0.1110780751513825,0.7083712465878071,0.07679615902673166,0.1326620771912828,0.26144980285107666,0.32428343949044586,0.048782012218940914,0.03813869281262641,0.010972827700432817,0.037344830166416154,-0.9986536724543549,0.0,0.6293469733425637,1.0
